NO,名称,名称_カナ,住所,方書,緯度,経度,標高,電話番号,内線番号,市区町村コード,都道府県名,市区町村名,災害種別_洪水,災害種別_崖崩れ、土石流及び地滑り,災害種別_高潮,災害種別_地震,災害種別_津波,災害種別_大規模な火事,災害種別_内水氾濫,災害種別_火山現象,指定避難場所(所)との重複,想定収容人数,指定の有無,対象となる町会・自治会,URL,備考
1,上古川公園,カミフルカワコウエン,宮城県大崎市古川字上古川113-1,,38.586526,140.944531,,－,,42153,宮城県,大崎市,,1,,1,,,,,,0,1,,,
2,古川黎明中学校・高等学校,フルカワレイメイチュウガッコウ・コウトウガッコウ,宮城県大崎市古川諏訪一丁目4-26,,38.580135,140.950456,,0229-22-3148,,42153,宮城県,大崎市,1,1,,1,,,,,1,696,1,,,"収容地区：上古川,諏訪西,諏訪中,諏訪東,塚目北"
3,諏訪運動公園,スワウンドウコウエン,宮城県大崎市古川諏訪二丁目116-1,,38.581594,140.950004,,－,,42153,宮城県,大崎市,,1,,1,,,,,,0,1,,,
4,諏訪ｽﾎﾟｰﾂ公園,スワスポーツコウエン,宮城県大崎市古川諏訪二丁目119-3,,38.582564,140.952023,,－,,42153,宮城県,大崎市,,1,,1,,,,,,0,1,,,
5,道の駅おおさき,ミチノエキオオサキ,宮城県大崎市古川千手寺二丁目5-50,,38.580019,140.956883,,0229-25-7381,,42153,宮城県,大崎市,,1,,1,,,,,,0,1,,,
6,古川第一小学校,フルカワダイイチショウガッコウ,宮城県大崎市古川二ノ構7-67,,38.578227,140.953325,,0229-22-2072,,42153,宮城県,大崎市,1,1,,1,,,,,1,719,1,,,"収容地区：千手寺,城西,竹ノ内,大江向,三日町北,川端,浦町西,浦町東,前田町,塚目南，二ノ構"
7,古川中学校,フルカワチュウガッコウ,宮城県大崎市古川二ノ構7-54,,38.578819,140.951892,,0229-22-0236,,42153,宮城県,大崎市,1,1,,1,,,,,1,809,1,,,"収容地区：古川横町,西館東,西館中,城西,古川台町,東町,十日町,七日町"
8,三日町公園,ミッカマチコウエン,宮城県大崎市古川三日町一丁目63-1,,38.573974,140.955791,,－,,42153,宮城県,大崎市,,1,,1,,,,,,0,1,,,
9,古川保健福祉プラザ,フルカワホケンフクシプラザ,宮城県大崎市古川三日町二丁目5-1,,38.572919,140.957199,,0229-23-2215,,42153,宮城県,大崎市,1,1,,1,,,,,,1235,1,,,福祉避難所　
10,古川高等学校,フルカワコウトウガッコウ,宮城県大崎市古川南町二丁目3-17,,38.570578,140.956688,,0229-22-3034,,42153,宮城県,大崎市,1,1,,1,,,,,1,905,1,,,"収容地区：三日町南,南町北,南町南,南町西,古川南新町,荒川小金丁"
11,古川南児童ｾﾝﾀｰ,フルカワミナミジドウセンター,宮城県大崎市古川南町三丁目7-26,,38.566842,140.955242,,0229-22-3610,,42153,宮城県,大崎市,,1,,1,,,,,,0,1,,,
12,古川たんぽぽ保育所,フルカワタンポポホイクショ,宮城県大崎市古川小稲葉町8-15,,38.567861,140.952489,,0229-22-1879,,42153,宮城県,大崎市,,1,,1,,,,,,0,1,,,
13,南町団地児童遊園地,ミナミマチダンチジドウユウエンチ,宮城県大崎市古川栄町10-13,,38.568577,140.949818,,－,,42153,宮城県,大崎市,,1,,1,,,,,,0,1,,,
14,栄町集会所,サカエチョウシュウカイジョ,宮城県大崎市古川栄町8-11,,38.567469,140.9487,,－,,42153,宮城県,大崎市,,1,,1,,,,,,24,1,,,
15,古川南部ｺﾐｭﾆﾃｨｾﾝﾀｰ,フルカワナンブコミュニティセンター,宮城県大崎市古川北稲葉一丁目1-16,,38.563126,140.955302,,－,,42153,宮城県,大崎市,,1,,1,,,,,,120,1,,,
16,古川第五小学校,フルカワダイゴショウガッコウ,宮城県大崎市古川穂波三丁目5-7,,38.564426,140.944968,,0229-24-8515,,42153,宮城県,大崎市,1,1,,1,,,,,1,739,1,,,"収容地区：栄町,新稲葉,稲葉北一,稲葉北二,稲葉西,米倉"
17,古川南中学校,フルカワミナミチュウガッコウ,宮城県大崎市古川穂波三丁目6-47,,38.562701,140.945489,,0229-21-0031,,42153,宮城県,大崎市,1,1,,1,,,,,1,793,1,,,"収容地区：穂波,西荒井上,西荒井北,西荒井南"
18,大崎生涯学習ｾﾝﾀｰ,オオサキショウガイガクシュウセンター,宮城県大崎市古川穂波三丁目4-20,,38.565556,140.945556,,0229-91-8611,,42153,宮城県,大崎市,,1,,1,,,,,,0,1,,,
19,古川稲葉児童ｾﾝﾀｰ,フルカワイナバジドウセンター,宮城県大崎市古川穂波三丁目6-2,,38.563534,140.946212,,0229-24-8513,,42153,宮城県,大崎市,,1,,1,,,,,,0,1,,,
20,沖稲葉団地公園,オキイナバダンチコウエン,宮城県大崎市古川稲葉四丁目230-20,,38.553037,140.955943,,－,,42153,宮城県,大崎市,,1,,1,,,,,,0,1,,,
21,祇園八坂神社,ギオンヤサカジンジャ,宮城県大崎市古川中島町10-45,,38.560965,140.956506,,0229-24-1977,,42153,宮城県,大崎市,,1,,1,,,,,,0,1,,,
22,古川第三小学校,フルカワダイサンショウガッコウ,宮城県大崎市古川金五輪一丁目13-1,,38.56053,140.959208,,0229-24-0514,,42153,宮城県,大崎市,1,1,,1,,,,,1,596,1,,,"洪水時校舎２階。収容地区：稲葉北一,稲葉北二,稲葉中,稲葉南,稲葉東一,稲葉東二,稲葉東三,米袋,中里南第一,中里南第二,中里南第三"
23,古川学園高等学校,フルカワガクエンコウトウガッコウ,宮城県大崎市古川中里六丁目2-8,,38.569827,140.965901,,0229-22-2545,,42153,宮城県,大崎市,,1,,1,,,,,1,985,1,,,"収容地区：中里北,中里中,古川駅前,駅南団地"
24,大崎市図書館,オオサキシトショカン,宮城県大崎市古川駅前大通四丁目2-1,,38.574906,140.965829,,0229-22-0002,,42153,宮城県,大崎市,1,1,,1,,,,,,286,1,,,福祉避難所
25,駅前一号公園,エキマエイチゴウコウエン,宮城県大崎市古川駅前大通二丁目123,,38.572842,140.965101,,－,,42153,宮城県,大崎市,,1,,1,,,,,,0,1,,,
26,駅前二号公園,エキマエニゴウコウエン,宮城県大崎市古川駅前大通二丁目191,,38.568137,140.969174,,－,,42153,宮城県,大崎市,,1,,1,,,,,,0,1,,,
27,古川大宮児童ｾﾝﾀｰ,フルカワオオミヤジドウセンター,宮城県大崎市古川大宮四丁目9-8,,38.585684,140.957638,,0229-23-1120,,42153,宮城県,大崎市,,1,,1,,,,,,0,1,,,
28,中央ｺﾐｭﾆﾃｨｾﾝﾀｰ,チュウオウコミュニティセンター,宮城県大崎市古川北町一丁目1-35,,38.577605,140.960227,,0229-22-3138,,42153,宮城県,大崎市,,1,,1,,,,,,220,,,,
29,古川工業高等学校,フルカワコウギョウコウトウガッコウ,宮城県大崎市古川北町四丁目7-1,,38.584202,140.964454,,0229-22-3166,,42153,宮城県,大崎市,1,1,,1,,,,,1,348,1,,,"洪水時体育館２階。収容地区：畑中北二，北町南,北町中,北町北一,北町北二,福浦三,江合本町,江合寿町,江合錦町,前田町"
30,北町保育所,キタマチホイクショ,宮城県大崎市古川北町四丁目4-25,,38.582657,140.961996,,0229-22-1584,,42153,宮城県,大崎市,,1,,1,,,,,,0,1,,,
31,大崎市民会館,オオサキシミンカイカン,宮城県大崎市古川北町五丁目5-1,,38.581049,140.96792,,0229-22-2649,,42153,宮城県,大崎市,,1,,1,,,,,,0,1,,,
32,旧中央公民館,キュウチュウオウコウミンカン,宮城県大崎市古川北町五丁目5-2,,38.580891,140.968576,,0229-22-3001,,42153,宮城県,大崎市,,1,,1,,,,,1,346,,,,
33,旧中央公民館(旧友和館),キュウチュウオウコウミンカン（キュウユウワカン）,宮城県大崎市古川北町五丁目5-3,,38.580684,140.968939,,0229-23-2384,,42153,宮城県,大崎市,,1,,1,,,,,1,161,,,,
34,駅南一号公園,エキミナミイチゴウコウエン,宮城県大崎市古川駅南一丁目7,,38.570303,140.97,,－,,42153,宮城県,大崎市,,1,,1,,,,,,0,1,,,
35,駅南二号公園,エキミナミニゴウコウエン,宮城県大崎市古川駅南二丁目7,,38.568137,140.969174,,－,,42153,宮城県,大崎市,,1,,1,,,,,,0,1,,,
36,前田町公園,マエダチョウコウエン,宮城県大崎市古川前田町133,,38.578649,140.958796,,－,,42153,宮城県,大崎市,,1,,1,,,,,,0,1,,,
37,旧中央児童館,キュウチュウオウジドウカン,宮城県大崎市古川前田町1-37,,38.578753,140.959246,,0229-23-0430,,42153,宮城県,大崎市,,1,,1,,,,,,0,1,,,
38,古川第四小学校,フルカワダイヨンショウガッコウ,宮城県大崎市古川大宮八丁目2-1,,38.588338,140.955489,,0229-23-8006,,42153,宮城県,大崎市,1,1,,1,,,,,1,725,1,,,"洪水時校舎２階。収容地区：畑中北一,畑中北二,畑中南,小泉,宮袋,若葉町,福浦一,福浦二,福浦三"
39,古川西保育所,フルカワニシホイクショ,宮城県大崎市古川諏訪三丁目3-10,,38.584841,140.950922,,0229-22-0983,,42153,宮城県,大崎市,,1,,1,,,,,,0,1,,,
40,西部ｺﾐｭﾆﾃｨｾﾝﾀｰ,セイブコミュニティセンター,宮城県大崎市古川諏訪三丁目3-12,,38.585374,140.95092,,0229-24-2665,,42153,宮城県,大崎市,,1,,1,,,,,,95,1,,,
41,福浦団地公園,フクウラダンチコウエン,宮城県大崎市古川福浦一丁目14-6,,38.590416,140.96079,,－,,42153,宮城県,大崎市,,1,,1,,,,,,0,1,,,
